"season","avg_player_delta_pp","median_player_delta_pp","players_included","total_late_tight_attempts","clutch_3pt_attempts","clutch_3pt_makes","clutch_3pt_pct"
2006,-0.469383633948176,0.133689839572193,138,1967,326,104,0.319018404907975
2007,-0.676185111279282,0.773993808049533,133,2640,477,172,0.360587002096436
2008,0.701284746436553,3.61275193026703,150,2671,441,149,0.337868480725624
2009,0.584976657381851,1.41092377754485,136,2843,490,150,0.306122448979592
2010,2.40111961355241,2.91267183877861,116,2367,389,112,0.287917737789203
2011,2.49437978187763,3.59855369881756,114,2050,382,144,0.37696335078534
2012,0.709237010896713,-0.601604278074874,123,1613,351,133,0.378917378917379
2013,2.50822389719518,2.95471105879716,112,1738,335,94,0.280597014925373
2014,0.8002461302818,0.49467498569295,116,2582,442,129,0.29185520361991
2015,0.147389558308598,0.44449669708041,134,2307,392,116,0.295918367346939
2016,2.03469326553476,0.649350649350655,121,2316,420,133,0.316666666666667
2017,1.12848415936254,1.47058823529412,113,2011,375,130,0.346666666666667
2018,1.31415228926081,-1.51819067137604,116,1587,325,115,0.353846153846154
2019,-1.01244452386363,-1.37215528781793,119,1872,398,122,0.306532663316583
2020,-4.59779807967334,-2.76595744680851,109,1041,214,67,0.313084112149533
2021,-1.22850971891125,0.88827720729289,116,2003,453,157,0.346578366445916
2022,0.218743008818753,1.30494505494505,117,2068,437,152,0.347826086956522
2023,1.33332213125099,0.450529862294569,120,2100,436,158,0.362385321100917
2024,0.505716184662981,1.51211513936965,117,2438,538,166,0.308550185873606
2025,-1.06442987321585,-1.47323794382618,141,2617,598,191,0.319397993311037
