"season","avg_player_delta_pp","median_player_delta_pp","players_included","total_late_tight_attempts"
2006,-0.469383633948176,0.133689839572193,138,1967
2007,-0.676185111279282,0.773993808049533,133,2640
2008,0.701284746436553,3.61275193026703,150,2671
2009,0.584976657381851,1.41092377754485,136,2843
2010,2.40111961355241,2.91267183877861,116,2367
2011,2.49437978187763,3.59855369881756,114,2050
2012,0.709237010896713,-0.601604278074874,123,1613
2013,2.50822389719518,2.95471105879716,112,1738
2014,0.8002461302818,0.49467498569295,116,2582
2015,0.147389558308598,0.44449669708041,134,2307
2016,2.03469326553476,0.649350649350655,121,2316
2017,1.12848415936254,1.47058823529412,113,2011
2018,1.31415228926081,-1.51819067137604,116,1587
2019,-1.01244452386363,-1.37215528781793,119,1872
2020,-4.59779807967334,-2.76595744680851,109,1041
2021,-1.22850971891125,0.88827720729289,116,2003
2022,0.218743008818753,1.30494505494505,117,2068
2023,1.33332213125099,0.450529862294569,120,2100
2024,0.505716184662981,1.51211513936965,117,2438
2025,-1.06442987321585,-1.47323794382618,141,2617
